source,author,year,sample,diagnosis,modality,method,accuracy
ebramhimighahnavieh,hosseini,2016,210,AD/HC,sMRI,DL,97.6
ebramhimighahnavieh,billones,2016,900,AD/HC,sMRI,DL,98.33
ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI,DL,98.84
ebramhimighahnavieh,sarraf,2016,43,AD/HC,fMRI,DL,96.86
ebramhimighahnavieh,sarraf,2016,43,AD/HC,fMRI,DL,96.86
ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI/fMRI,DL,100.0
ebramhimighahnavieh,zheng,2016,103,AD/HC,sMRI/PET,DL,97.27
ebramhimighahnavieh,bhatkoti,2016,150,AD/HC,Multimodal,DL,83.14
ebramhimighahnavieh,hosseini,2016,240,AD/HC,sMRI,DL,99.3
ebramhimighahnavieh,ortiz,2016,275,AD/HC,sMRI/PET,DL,90.0
ebramhimighahnavieh,suk,2016,805,AD/HC,sMRI,DL,91.02
ebramhimighahnavieh,shakeri,2016,560,AD/HC,sMRI,DL,84.0
ebramhimighahnavieh,suk,2016,202,AD/HC,Multimodal,DL,95.09
ebramhimighahnavieh,aderghal,2017,815,AD/HC,sMRI,DL,82.2
ebramhimighahnavieh,cheng,2017,339,AD/HC,PET,DL,91.19
ebramhimighahnavieh,cheng,2017,193,AD/HC,PET,DL,92.2
ebramhimighahnavieh,aderghal,2017,815,AD/HC,sMRI,DL,91.41
ebramhimighahnavieh,korolev,2017,231,AD/HC,sMRI,DL,88.0
ebramhimighahnavieh,valliani,2017,660,AD/HC,sMRI,DL,81.3
ebramhimighahnavieh,hon,2017,416,AD/HC,sMRI,DL,96.25
ebramhimighahnavieh,karwath,2017,2630,AD/HC,PET,DL,91.6
ebramhimighahnavieh,ortiz,2017,138,AD/HC,sMRI,DL,94.0
ebramhimighahnavieh,li,2017,832,AD/HC,sMRI,DL,91.7
ebramhimighahnavieh,li,2017,428,AD/HC,sMRI,DL,88.31
ebramhimighahnavieh,cheng,2017,193,AD/HC,sMRI/PET,DL,89.64
ebramhimighahnavieh,vu,2017,317,AD/HC,sMRI/PET,DL,91.14
ebramhimighahnavieh,majumdar,2017,202,AD/HC,Multimodal,DL,95.4
ebramhimighahnavieh,faturrahman,2017,98,AD/HC,sMRI,DL,91.76
ebramhimighahnavieh,jha,2017,95,AD/HC,sMRI,DL,91.6
ebramhimighahnavieh,suk,2017,805,AD/HC,sMRI,DL,91.02
ebramhimighahnavieh,shi,2017,338,AD/HC,sMRI,DL,91.95
ebramhimighahnavieh,aderghal,2017,815,AD/HC,sMRI,DL,91.41
ebramhimighahnavieh,collazos,2017,694,AD/HC,sMRI,DL,93.2
ebramhimighahnavieh,ortiz,2017,80,AD/HC,sMRI,DL,85.0
ebramhimighahnavieh,cheng,2017,428,AD/HC,sMRI,DL,87.15
ebramhimighahnavieh,liu,2018,397,AD/HC,sMRI/PET,DL,93.26
ebramhimighahnavieh,karasawa,2018,1728,AD/HC,sMRI,DL,94.0
ebramhimighahnavieh,senanayake,2018,515,AD/HC,Multimodal,DL,79.0
ebramhimighahnavieh,liu,2018,856,AD/HC,sMRI,DL,90.56
ebramhimighahnavieh,liu,2018,821,AD/HC,sMRI,DL,91.09
ebramhimighahnavieh,gao,2018,415,AD/HC,sMRI,DL,89.5
ebramhimighahnavieh,aderghal,2018,815,AD/HC,MRI/DTI,DL,92.5
ebramhimighahnavieh,vu,2018,615,AD/HC,sMRI/PET,DL,98.8
ebramhimighahnavieh,backstrom,2018,340,AD/HC,sMRI,DL,98.37
ebramhimighahnavieh,cui,2018,428,AD/HC,sMRI,DL,89.69
ebramhimighahnavieh,shi,2018,202,AD/HC,sMRI/PET,DL,97.13
ebramhimighahnavieh,lu,2018,1051,AD/HC,PET,DL,93.58
ebramhimighahnavieh,choi,2018,492,AD/HC,PET,DL,96.0
ebramhimighahnavieh,wang,2018,196,AD/HC,sMRI,DL,97.65
ebramhimighahnavieh,liu,2018,339,AD/HC,PET,DL,91.2
ebramhimighahnavieh,lu,2018,2402,AD/HC,sMRI/PET,DL,84.6
ebramhimighahnavieh,wegmayr,2018,1790,AD/HC,sMRI,DL,75.0
ebramhimighahnavieh,punjabi,2018,723,AD/HC,sMRI/PET,DL,94.0
ebramhimighahnavieh,taqi,2018,500,AD/HC,sMRI,DL,100.0
ebramhimighahnavieh,chen,2018,764,AD/HC,sMRI,DL,93.9
ebramhimighahnavieh,kim,2018,202,AD/HC,Multimodal,DL,97.12
ebramhimighahnavieh,yang,2018,103,AD/HC,sMRI,DL,79.4
ebramhimighahnavieh,li,2018,831,AD/HC,sMRI,DL,89.5
ebramhimighahnavieh,khvostikov,2018,531,AD/HC,sMRI/DTI,DL,93.3
ebramhimighahnavieh,tang,2018,321,AD/HC,sMRI,DL,96.81
ebramhimighahnavieh,wegmayr,2018,2464,AD/HC,sMRI,DL,86.0
ebramhimighahnavieh,cui,2018,231,AD/HC,sMRI,DL,86.98
ebramhimighahnavieh,spasov,2018,376,AD/HC,Multimodal,DL,99.0
ebramhimighahnavieh,islam,2018,1726,AD/HC,sMRI,DL,94.97
ebramhimighahnavieh,rieke,2018,969,AD/HC,sMRI,DL,77.0
ebramhimighahnavieh,lian,2018,1457,AD/HC,sMRI,DL,90.0
ebramhimighahnavieh,qiao,2018,68,AD/HC,fMRI,DL,95.59
ebramhimighahnavieh,basaia,2019,1638,AD/HC,sMRI,DL,98.2
ebramhimighahnavieh,jain,2019,150,AD/HC,sMRI,DL,99.14
ebramhimighahnavieh,spasov,2019,785,AD/HC,Multimodal,DL,100.0
ebramhimighahnavieh,wamg,2019,833,AD/HC,sMRI,DL,98.83
aslam,zhang,2017,72,MS/HC,sMRI,DL,97.8
aslam,eksi,2021,90,MS/HC,sMRI,DL,100.0
aslam,hahn,2019,64,MS/HC,sMRI,DL,91.95
aslam,eitel,2019,147,MS/HC,T1,DL,87.04
aslam,soltani,2020,72,MS/HC,T2,DL,99.66
aslam,siar,2019,200,MS/HC,sMRI,DL,96.88
aslam,wang,2021,64,MS/HC,sMRI,DL,95.82
aslam,wang,2018,64,MS/HC,sMRI,DL,98.77
aslam,zhang,2018,64,MS/HC,sMRI,DL,98.23
aslam,acar,2022,30,MS/HC,FLAIR,DL,90.3
aslam,fooladi,2018,60,MS/HC,T1,DL,90.0
aslam,lopatina,2020,132,MS/HC,sMRI,DL,92.0
aslam,alijamaat,2021,58,MS/HC,sMRI,DL,99.05
aslam,yoo,2019,140,MS/HC,Multimodal,DL,75.0
aslam,jannat,2021,30,MS/HC,T1/T2/FLAIR,DL,98.24
aslam,zhang,2021,38,MS/HC,T1/T2/FLAIR,DL,95.42
aslam,ye,2020,38,MS/HC,Multimodal,DL,93.4
aslam,shmueli,2022,39,MS/HC,sMRI,DL,91.0
aslam,wang,2020,64,MS/HC,sMRI,DL,98.31
aslam,karaca,2017,120,MS/HC,sMRI,DL,99.78
colombo,matsubara,2019,96,BP/SCZ,rsfMRI,DL,71.3
colombo,matsubara,2019,163,BP/HC,rsfMRI,DL,64.0
colombo,squarcina,2019,75,BP/HC,sMRI,DL,75.0
colombo,sutcubasi,2019,80,BP/SCZ,DTI,DL,81.3
