X,y
46,4427612.206214423
55,5109686.729620031
57,5491432.889531692
57,5413798.238664997
75,6532700.143455728
52,5296754.778433351
79,7164146.978361491
43,4422988.934105963
42,4227033.729635625
57,5277772.908597353
49,4817887.813515577
32,3461150.9339750614
50,4843837.424884828
88,7692597.637724291
88,7876352.816890007
67,5804765.7272374
80,7092131.262355706
55,5293083.743310542
34,3094736.8093015295
40,4022275.45888037
88,7942881.381372601
41,3859912.662049653
57,5397933.964070381
78,7374417.863201937
73,6784450.3262671
75,6809798.532987603
45,4543858.851052716
71,6351440.439840892
66,6023205.210558059
77,7020157.766938705
83,7352423.756677296
85,7620915.850847707
52,4561736.485014095
76,6813715.8485449115
77,7009108.0683659185
65,6075306.952347657
84,7413115.602826872
50,5115981.253591266
80,7494058.884066519
89,8293234.032672039
66,5852648.841428635
61,5716457.269589429
49,4680536.297476298
69,6439983.106916323
47,4806126.746273148
36,3763139.333278262
40,4263082.492057592
67,6064221.376330128
86,7865105.667590717
69,6447657.023077991
66,6081607.428726321
86,7546789.858503695
56,5041467.564008267
69,6372775.109753959
45,3941963.324081364
51,4531444.943934533
39,3966282.513589165
86,8030430.980837403
63,6000915.452007625
75,7136461.130841063
53,5306897.558968045
81,7214553.978309527
86,7741445.581624029
