source,author,year,sample,diagnosis,modality,method,accuracy
ebramhimighahnavieh,punjabi,2018,723,AD/HC,sMRI/PET,DL,94.0
ebramhimighahnavieh,taqi,2018,500,AD/HC,sMRI,DL,100.0
ebramhimighahnavieh,chen,2018,764,AD/HC,sMRI,DL,93.9
ebramhimighahnavieh,kim,2018,202,AD/HC,Multimodal,DL,97.12
ebramhimighahnavieh,yang,2018,103,AD/HC,sMRI,DL,79.4
ebramhimighahnavieh,khvostikov,2018,531,AD/HC,sMRI/DTI,DL,93.3
ebramhimighahnavieh,tang,2018,321,AD/HC,sMRI,DL,96.81
ebramhimighahnavieh,spasov,2018,376,AD/HC,Multimodal,DL,99.0
ebramhimighahnavieh,islam,2018,1726,AD/HC,sMRI,DL,94.97
ebramhimighahnavieh,rieke,2018,969,AD/HC,sMRI,DL,77.0
ebramhimighahnavieh,lian,2018,1457,AD/HC,sMRI,DL,90.0
ebramhimighahnavieh,qiao,2018,68,AD/HC,fMRI,DL,95.59
ebramhimighahnavieh,spasov,2019,785,AD/HC,Multimodal,DL,100.0
ebramhimighahnavieh,wamg,2019,833,AD/HC,sMRI,DL,98.83
