,source,author,year,sample,diagnosis,modality,method,accuracy
49,arbabshirani,coupe,2012,100,AD/HC,sMRI,ML,93.0
50,arbabshirani,chen,2014,212,AD/HC,sMRI,ML,78.5
51,arbabshirani,behesti,2015,260,AD/HC,sMRI,ML,86.0
52,arbabshirani,batmanghelich,2012,117,AD/HC,sMRI,ML,88.0
53,arbabshirani,arimura,2008,54,AD/HC,sMRI,ML,90.9
54,arbabshirani,adaszewksi,2013,448,AD/HC,sMRI,ML,72.0
55,arbabshirani,abdulkadir,2011,417,AD/HC,sMRI,ML,87.0
56,arbabshirani,kloppel,2008,195,AD/FTD/HC,sMRI,ML,91.5
57,arbabshirani,young,2009,66,AD/FTD/HC,sMRI,ML,88.5
58,arbabshirani,kaufer,1997,45,AD/FTD/HC,sMRI,ML,91.0
59,arbabshirani,costafreda,2011,262,AD/MCI/HC,sMRI,ML,80.0
60,arbabshirani,yang,2013,52,AD/MCI/HC,sMRI,ML,91.5
61,arbabshirani,yang,2011,416,AD/MCI/HC,sMRI,ML,83.25
62,arbabshirani,wolz,2011,834,AD/MCI/HC,sMRI,ML,86.5
63,arbabshirani,wee,2013,598,AD/MCI/HC,sMRI,ML,88.3
64,arbabshirani,tong,2014,834,AD/MCI/HC,sMRI,ML,85.95
65,arbabshirani,tang,2014,754,AD/MCI/HC,sMRI,ML,86.0
66,arbabshirani,salvatore,2015,509,AD/MCI/HC,sMRI,ML,74.0
67,arbabshirani,retico,2015,635,AD/MCI/HC,sMRI,ML,80.0
68,arbabshirani,qiu,2008,53,AD/MCI/HC,sMRI,ML,82.0
69,arbabshirani,plant,2010,74,AD/MCI/HC,sMRI,ML,92.0
70,arbabshirani,pennanen,2004,172,AD/MCI/HC,sMRI,ML,78.3
71,arbabshirani,mueller,2010,91,AD/MCI/HC,sMRI,ML,75.6
72,arbabshirani,min,2014,459,AD/MCI/HC,sMRI,ML,91.6
73,arbabshirani,mcevoy,2011,684,AD/MCI/HC,sMRI,ML,85.0
74,arbabshirani,mcevoy,2009,398,AD/MCI/HC,sMRI,ML,90.5
75,arbabshirani,liu,2014,652,AD/MCI/HC,sMRI,ML,88.65
76,arbabshirani,liu,2015,459,AD/MCI/HC,sMRI,ML,93.8
77,arbabshirani,liu,2013,413,AD/MCI/HC,sMRI,ML,70.0
78,arbabshirani,lillemark,2014,524,AD/MCI/HC,sMRI,ML,82.15
79,arbabshirani,li,2014,363,AD/MCI/HC,sMRI,ML,72.15
80,arbabshirani,li,2012,152,AD/MCI/HC,sMRI,ML,88.9
81,arbabshirani,lahmiri,2014,33,AD/MCI/HC,sMRI,ML,97.3
82,arbabshirani,goryawala,2015,385,AD/MCI/HC,sMRI,ML,92.65
83,arbabshirani,gerardin,2009,71,AD/MCI/HC,sMRI,ML,88.5
84,arbabshirani,cuingnet,2011,509,AD/MCI/HC,sMRI,ML,88.0
85,arbabshirani,chu,2012,579,AD/MCI/HC,sMRI,ML,77.5
86,arbabshirani,chincarini,2011,635,AD/MCI/HC,sMRI,ML,79.5
87,arbabshirani,casanova,2012,727,AD/MCI/HC,sMRI,ML,85.0
88,arbabshirani,bottino,2002,80,AD/MCI/HC,sMRI,ML,84.3
89,arbabshirani,apostolova,2014,388,AD/MCI/HC,sMRI,ML,71.0
90,arbabshirani,aguilar,2013,345,AD/MCI/HC,sMRI,ML,88.1
91,arbabshirani,kloppel,2015,1583,AD/MCI/DEM/HC,sMRI,ML,85.0
92,arbabshirani,wolf,2001,39,DEM/HC,sMRI,ML,76.9
93,arbabshirani,li,2014,36,AD/HC,sMRI/dMRI,ML,94.3
94,arbabshirani,prasad,2015,200,AD/MCI/HC,sMRI/dMRI,ML,68.7
95,arbabshirani,dyrba,2013,280,AD/HC,sMRI/dMRI,ML,77.75
96,arbabshirani,zarei,2009,51,AD/VaD/HC,sMRI/dMRI,ML,87.5
97,arbabshirani,jung,2015,192,AD/MCI/HC,sMRI/dMRI,ML,83.4
98,arbabshirani,dukart,2013,90,AD/HC,sMRI/PET,ML,93.0
99,arbabshirani,ortiz,2015,249,AD/MCI/HC,sMRI/PET,ML,88.0
100,arbabshirani,liu,2014,202,AD/MCI/HC,sMRI/PET,ML,86.8
101,arbabshirani,dai,2012,38,AD/HC,sMRI/rsfMRI,ML,89.5
102,arbabshirani,zu,2015,202,AD/MCI/HC,sMRI/PET,ML,88.1
103,arbabshirani,yun,2015,319,AD/MCI/HC,sMRI/PET,ML,83.3
104,arbabshirani,hinrichs,2011,233,AD/MCI/HC,sMRI/PET,ML,87.6
105,arbabshirani,xu,2015,340,AD/MCI/HC,sMRI/PET,ML,84.65
106,arbabshirani,zhang,2011,202,AD/MCI/HC,Multimodal,ML,84.8
107,arbabshirani,yu,2015,199,AD/MCI/HC,Multimodal,ML,86.3
108,arbabshirani,zhang,2014,189,AD/MCI/HC,Multimodal,ML,82.9
109,arbabshirani,dyrba,2015,53,AD/HC,sMRI/rsfMRI/dMRI,ML,79.5
110,arbabshirani,caprihan,2008,90,SCZ/HC,dMRI,ML,80.0
111,arbabshirani,caan,2006,58,SCZ/HC,dMRI,ML,75.0
112,arbabshirani,ardekani,2011,100,SCZ/HC,dMRI,ML,96.0
113,arbabshirani,honorio,2012,28,SCZ/HC,tfMRI,ML,96.0
114,arbabshirani,demirci,2008,138,SCZ/HC,tfMRI,ML,85.0
115,arbabshirani,yoon,2012,102,SCZ/HC,tfMRI,ML,62.0
116,arbabshirani,koch,2015,88,SCZ/HC,tfMRI,ML,93.0
117,arbabshirani,cao,2013,208,SCZ/HC,tfMRI,ML,77.0
118,arbabshirani,costafreda,2011,104,SCZ/HC,tfMRI,ML,92.0
119,arbabshirani,yoon,2008,34,SCZ/HC,tfMRI,ML,65.5
120,arbabshirani,castro,2014,52,SCZ/HC,tfMRI,ML,85.0
121,arbabshirani,castro,2011,106,SCZ/HC,tfMRI,ML,95.0
122,arbabshirani,calhoun,2008,61,SCZ/BP/HC,tfMRI,ML,89.0
123,arbabshirani,arribas,2010,60,SCZ/BP/HC,tfMRI,ML,86.0
124,arbabshirani,yu,2013,71,SCZ/MDD/HC,rsfMRI,ML,62.0
125,arbabshirani,watanabe,2014,145,SCZ/HC,rsfMRI,ML,91.0
126,arbabshirani,guo,2014,92,SCZ/HC,rsfMRI,ML,75.0
127,arbabshirani,ventakataraman,2012,36,SCZ/HC,rsfMRI,ML,75.0
128,arbabshirani,tang,2012,44,SCZ/HC,rsfMRI,ML,93.0
129,arbabshirani,su,2013,64,SCZ/HC,rsfMRI,ML,83.0
130,arbabshirani,shen,2010,52,SCZ/HC,rsfMRI,ML,86.0
132,arbabshirani,kaufmann,2015,267,SCZ/HC,rsfMRI,ML,79.5
133,arbabshirani,cheng,2015,48,SCZ/HC,rsfMRI,ML,80.0
134,arbabshirani,fekete,2013,18,SCZ/HC,rsfMRI,ML,100.0
135,arbabshirani,fan,2011,62,SCZ/HC,rsfMRI,ML,86.0
137,arbabshirani,bassett,2012,58,SCZ/HC,rsfMRI,ML,75.0
138,arbabshirani,arbabshirani,2013,56,SCZ/HC,rsfMRI,ML,96.0
139,arbabshirani,anticevic,2014,180,SCZ/HC,rsfMRI,ML,73.9
140,arbabshirani,anderson,2013,146,SCZ/HC,rsfMRI,ML,65.0
141,arbabshirani,zhang,2013,148,SCZ/HC,sMRI,ML,71.0
142,arbabshirani,zanetti,2013,124,SCZ/HC,sMRI,ML,73.0
143,arbabshirani,takayanagi,2011,92,SCZ/HC,sMRI,ML,80.0
144,arbabshirani,sun,2009,72,SCZ/PSY/HC,sMRI,ML,86.0
145,arbabshirani,schnack,2014,334,SCZ/BP/HC,sMRI,ML,78.5
146,arbabshirani,radulescu,2014,51,SCZ/HC,sMRI,ML,68.35
147,arbabshirani,pina,2015,123,SCZ/HC,sMRI,ML,90.0
148,arbabshirani,pardo,2006,28,SCZ/BP/HC,sMRI,ML,96.0
149,arbabshirani,ota,2012,189,SCZ/HC,sMRI,ML,73.0
150,arbabshirani,nieuwenhius,2012,516,SCZ/HC,sMRI,ML,71.0
151,arbabshirani,nakamura,2004,104,SCZ/HC,sMRI,ML,82.0
152,arbabshirani,koutsoleris,2015,262,SCZ/MOOD,sMRI,ML,76.0
153,arbabshirani,kawasaki,2007,92,SCZ/HC,sMRI,ML,85.0
154,arbabshirani,kasparek,2011,78,SCZ/HC,sMRI,ML,72.0
155,arbabshirani,karageorgiou,2011,75,SCZ/HC,sMRI,ML,72.0
156,arbabshirani,janousova,2015,98,SCZ/HC,sMRI,ML,81.6
157,arbabshirani,iawbuchi,2013,39,SCZ/HC,sMRI,ML,71.8
158,arbabshirani,ingalhalikar,2012,52,SCZ/HC,sMRI,ML,78.0
159,arbabshirani,greenstein,2012,197,SCZ/HC,sMRI,ML,74.0
160,arbabshirani,gould,2014,412,SCZ/HC,sMRI,ML,64.0
161,arbabshirani,fan,2007,148,SCZ/HC,sMRI,ML,91.0
162,arbabshirani,fan,2005,61,SCZ/HC,sMRI,ML,92.0
163,arbabshirani,davatzikos,2005,148,SCZ/HC,sMRI,ML,81.0
164,arbabshirani,csernansky,2004,117,SCZ/HC,sMRI,ML,79.0
165,arbabshirani,castellani,2012,108,SCZ/HC,sMRI,ML,70.5
166,arbabshirani,bansal,2012,105,SCZ/HC,sMRI,ML,94.0
167,arbabshirani,ota,2013,50,SCZ/MDD/HC,sMRI/dMRI,ML,80.0
168,arbabshirani,du,2012,56,SCZ/HC,tfMRI/rsfMRI,ML,95.5
169,arbabshirani,cetin,2015,55,SCZ/HC,tfMRI/rsfMRI,ML,72.0
170,arbabshirani,yang,2010,40,SCZ/HC,Multimodal,ML,87.0
171,arbabshirani,sui,2013,63,SCZ/HC,sMRI/rsfMRI/dMRI,ML,79.0
172,arbabshirani,fang,2012,48,MDD/HC,dMRI,ML,91.7
173,arbabshirani,mourao,2011,38,MDD/HC,tfMRI,ML,64.25
174,arbabshirani,rosa,2015,38,MDD/HC,tfMRI,ML,81.95
175,arbabshirani,sato,2015,46,MDD/HC,tfMRI,ML,78.1
176,arbabshirani,shimizu,2015,62,MDD/HC,tfMRI,ML,92.5
177,arbabshirani,zeng,2014,53,MDD/HC,rsfMRI,ML,92.5
178,arbabshirani,wei,2013,40,MDD/HC,rsfMRI,ML,90.0
179,arbabshirani,lord,2012,43,MDD/HC,rsfMRI,ML,99.0
180,arbabshirani,cao,2014,76,MDD/HC,rsfMRI,ML,76.6
181,arbabshirani,guo,2014,63,MDD/HC,rsfMRI,ML,90.5
182,arbabshirani,sepa,2014,113,MDD/HC,sMRI,ML,60.05
183,arbabshirani,sacchet,2015,193,MDD/BP/HC,sMRI,ML,61.1
184,arbabshirani,macmaster,2014,68,MDD/BP/HC,sMRI,ML,81.0
185,arbabshirani,fung,2015,64,MDD/BP/HC,sMRI,ML,74.3
186,arbabshirani,mwangi,2012,62,MDD/HC,sMRI,ML,90.3
187,arbabshirani,gong,2011,88,MDD/HC,sMRI,ML,71.65
188,arbabshirani,foland,2015,33,MDD/HC,sMRI,ML,70.0
256,filipis,iwabuchi,2013,39,SCZ/HC,sMRI,ML,69.15
257,filipis,lu,2016,83,SCZ/HC,sMRI,ML,88.4
259,filipis,xiao,2017,326,SCZ/HC,sMRI,ML,83.4
260,filipis,salvador,2017,383,SCZ/BP/HC,sMRI,ML,75.5
261,filipis,yoon,2008,34,SCZ/HC,fMRI,ML,93.0
262,filipis,yang,2010,40,SCZ/HC,fMRI,ML,77.4
263,filipis,su,2013,64,SCZ/HC,fMRI,ML,80.2
264,filipis,zhu,2014,45,SCZ/HC,rsfMRI,ML,83.6
265,filipis,castro,2014,52,SCZ/HC,fMRI,ML,85.0
266,filipis,arbabshirani,2014,370,SCZ/HC,fMRI,ML,88.2
268,filipis,cao,2014,208,SCZ/HC,fMRI,ML,63.1
269,filipis,matsuraba,2015,211,SCZ/BP/HC,rsfMRI,ML,76.6
270,filipis,koch,2015,98,SCZ/HC,fMRI,ML,81.25
271,filipis,chyzhyk,2015,147,SCZ/HC,fMRI,ML,90.0
272,filipis,cabral,2016,145,SCZ/HC,sMRI,ML,69.7
273,filipis,cabral,2016,156,SCZ/HC,fMRI,ML,70.5
274,filipis,cabral,2016,156,SCZ/HC,sMRI/fMRI,ML,75.0
276,filipis,liu,2017,79,SCZ/HC,rsfMRI,ML,89.9
277,filipis,guo,2017,96,SCZ/HC,fMRI,ML,94.6
278,filipis,orban,2017,382,SCZ/HC,fMRI,ML,84.0
279,filipis,wang,2017,79,SCZ/HC,fMRI,ML,90.1
280,filipis,chen,2017,60,SCZ/MDD/HC,fMRI,ML,79.0
281,filipis,bae,2017,75,SCZ/HC,fMRI,ML,92.1
282,filipis,quershi,2017,144,SCZ/HC,fMRI,ML,99.3
283,filipis,reavis,2017,148,SCZ/BP/HC,fMRI,ML,41.0
284,filipis,chen,2017,109,SCZ/ASD/HC,fMRI,ML,81.7
285,filipis,plaschke,2017,170,SCZ/HC,rsfMRI,ML,66.5
286,filipis,liu,2018,79,SCZ/HC,rsfMRI,ML,94.93
287,filipis,zeng,2018,734,SCZ/HC,rsfMRI,ML,83.0
313,verma,ulas,2012,100,SCZ/HC,sMRI,ML,81.0
314,verma,park,2020,152,SCZ/HC,sMRI,ML,80.4
315,verma,ulas,2011,114,SCZ/HC,sMRI,ML,85.96
317,verma,modinos,2012,40,SCZ/HC,fMRI,ML,75.0
318,verma,arbabshirani,2013,56,SCZ/HC,fMRI,ML,96.0
321,verma,bae,2018,75,SCZ/HC,fMRI,ML,92.1
322,verma,chin,2018,212,SCZ/HC,sMRI,ML,92.0
323,verma,depierrefeu,2018,37,SCZ/HC,fMRI,ML,73.0
324,verma,li,2019,131,SCZ/HC,fMRI,ML,76.34
325,verma,liu,2019,56,SCZ/HC,fMRI,ML,92.9
328,verma,chen,2020,68,SCZ/HC,sMRI,ML,85.0
329,verma,lei,2020,747,SCZ/HC,sMRI/fMRI,ML,90.83
331,verma,yang,2020,88,SCZ/HC,fMRI,ML,99.46
332,verma,yassin,2020,97,SCZ/HC,sMRI,ML,75.0
333,verma,lin,2021,210,SCZ/HC,fMRI/DTI,ML,95.33
334,verma,shi,2021,145,SCZ/HC,sMRI/fMRI,ML,93.75
335,verma,algumaei,2022,140,SCZ/HC,fMRI,ML,98.57
336,verma,tanveer,2022,146,SCZ/HC,sMRI,ML,80.71
337,wolfers,yushkevich,2005,92,SCZ/HC,sMRI,ML,71.0
339,wolfers,shi,2007,83,SCZ/HC,sMRI,ML,80.0
342,wolfers,sun,2009,72,SCZ/HC,sMRI,ML,86.1
343,wolfers,pohl,2009,33,SCZ/HC,sMRI,ML,90.0
344,wolfers,koutsoleris,2009,120,SCZ/HC,sMRI,ML,84.83
345,wolfers,anderson,2010,20,SCZ/HC,rsfMRI,ML,75.0
346,wolfers,takayanagi,2010,82,SCZ/HC,sMRI,ML,75.6
347,wolfers,rathi,2010,41,SCZ/HC,dMRI,ML,85.5
349,wolfers,yang,2010,40,SCZ/HC,tfMRI,ML,87.0
351,wolfers,ingalhalikar,2010,79,SCZ/ASD/HC,dMRI,ML,90.1
358,wolfers,costafreda,2011,104,SCZ/BP/HC,tfMRI,ML,85.5
363,wolfers,borgwardt,2012,45,SCZ/HC,sMRI,ML,86.7
364,wolfers,du,2012,56,SCZ/HC,rsfMRI,ML,93.0
366,wolfers,bassal,2012,119,SCZ/ADHD/HC,sMRI,ML,92.525
368,wolfers,venkataraman,2012,36,SCZ/HC,sMRI/rsfMRI,ML,75.0
369,wolfers,nieuwenhuis,2012,516,SCZ/HC,sMRI,ML,70.9
370,wolfers,liu,2012,46,SCZ/HC,rsfMRI,ML,80.4
373,wolfers,hu,2013,20,SCZ/HC,rsfMRI,ML,77.5
380,wolfers,zhu,2014,20,SCZ/HC,sMRI/dMRI,ML,100.0
381,wolfers,schnack,2014,132,SCZ/HC,sMRI,ML,75.5
382,wolfers,schnack,2014,132,SCZ/BP,sMRI,ML,59.0
383,wolfers,mueller,2015,68,SCZ/HC,rsfMRI,ML,74.0
386,wolfers,koutsoleris,2015,262,SCZ/MDD,sMRI,ML,76.0
388,wolfers,marquand,2008,40,MDD/HC,tfMRI,ML,67.5
389,wolfers,fu,2008,38,MDD/HC,tfMRI,ML,86.0
390,wolfers,costafreda,2009,74,MDD/HC,sMRI,ML,67.6
391,wolfers,craddock,2009,40,MDD/HC,rsfMRI,ML,95.0
392,wolfers,hahn,2011,60,MDD/HC,tfMRI,ML,83.0
393,wolfers,nouretdinov,2011,38,MDD/HC,tfMRI,ML,86.9
394,wolfers,fang,2012,48,MDD/HC,dMRI/sMRI,ML,91.7
395,wolfers,zeng,2012,55,MDD/HC,rsfMRI,ML,94.3
396,wolfers,korgaonkar,2012,46,MDD/HC,dMRI/sMRI,ML,96.0
397,wolfers,mourao,2012,36,MDD/HC,tfMRI,ML,61.0
398,wolfers,mourao,2012,36,BP/HC,tfMRI,ML,64.0
399,wolfers,mourao,2012,36,BP/MDD,tfMRI,ML,67.0
400,wolfers,bansal,2012,66,BP/HC,sMRI,ML,98.2
404,wolfers,ma,2013,58,MDD/HC,rsfMRI,ML,90.06
405,wolfers,ota,2013,84,MDD/SCZ,sMRI/dMRI,ML,80.0
406,wolfers,grotegerd,2013,20,MDD/HC,tfMRI,ML,85.0
407,wolfers,grotegerd,2013,20,BP/HC,tfMRI,ML,80.0
408,wolfers,grotegerd,2013,20,MDD/BP,tfMRI,ML,90.0
409,wolfers,yu,2013,89,MDD/SCZ/HC,rsfMRI,ML,80.9
411,wolfers,qin,2014,59,MDD/HC,sMRI/dMRI,ML,80.05
413,wolfers,schnack,2014,112,BP/HC,sMRI,ML,59.0
415,wolfers,schnack,2014,112,BP/SCZ,sMRI,ML,65.5
416,wolfers,serpa,2014,94,BP/HC,sMRI,ML,66.1
417,wolfers,serpa,2014,90,MDD/HC,sMRI,ML,59.6
418,wolfers,serpa,2014,42,MDD/BP,sMRI,ML,54.76
419,wolfers,redlich,2014,58,MDD/BP,sMRI,ML,72.4
421,wolfers,arribas,2010,61,MDD/SCZ/HC,tfMRI,ML,71.9
422,wolfers,rocha,2014,80,BP/HC,sMRI,ML,72.5
423,claude,anticevic,2014,114,BP/HC,rsfMRI,ML,61.7
424,claude,besga,2012,37,BP/HC,DTI,ML,100.0
425,claude,burger,2017,108,MDD/BP/HC,tfMRI,ML,59.72
426,claude,chen,2014,23,BP/HC,sMRI,ML,57.0
427,claude,doan,2017,697,BP/HC/SCZ,sMRI,ML,66.0
428,claude,frangou,2017,60,BP/HC,tfMRI,ML,83.5
429,claude,grotegerd,2013,30,BP/MDD/HC,tfMRI,ML,65.0
430,claude,jie,2015,69,BP/MDD/HC,sMRI,ML,80.78
431,claude,jie,2018,73,BP/MDD/HC,rsfMRI,ML,82.22
432,claude,li,2017,66,BP/MDD/HC,rsfMRI,ML,81.0
433,claude,matsuo,2019,1742,BP/MDD/HC,sMRI,ML,58.3
434,claude,mourao,2012,54,BP/MDD/HC,tfMRI,ML,64.0
435,claude,mwangi,2014,32,BP/HC,sMRI,ML,78.12
436,claude,mwangi,2015,32,BP/HC,DTI,ML,78.12
437,claude,mwangi,2016,256,BP/HC,sMRI,ML,70.3
438,claude,nunes,2018,3020,BP/HC,sMRI,ML,58.67
439,claude,redlich,2014,232,BP/MDD/HC,sMRI,ML,82.76
441,claude,sacchet,2015,101,BP/HC,sMRI,ML,55.9
442,claude,salvador,2017,383,BP/SCZ/HC,sMRI,ML,63.0
443,claude,serpa,2014,113,BP/MDD/HC,sMRI,ML,66.1
444,claude,schnack,2014,334,BP/SCZ/HC,sMRI,ML,63.0
445,claude,fung,2015,64,BP/SCZ/MDD,sMRI,ML,74.3
446,claude,grotegerd,2014,66,BP/MDD/HC,tfMRI,ML,79.6
447,claude,rive,2016,91,BP/MDD,sMRI,ML,69.1
448,claude,ruben,2018,117,BP/MDD,sMRI,ML,75.0
450,claude,gao,2017,106,BP/MDD/HC,rsfMRI,ML,93.1
452,claude,chen,2014,34,BP/SCZ,sMRI/tfMRI,ML,87.5
454,claude,du,2015,93,BP/SCZ/HC,rsfMRI,ML,68.75
455,claude,palaniyappan,2018,57,SCZ/BP,sMRI/rsfMRI,ML,64.1
456,claude,rashid,2016,159,SCZ/BP/HC,fMRI,ML,84.0
458,claude,calhoun,2008,61,BP/SCZ/HC,tfMRI,ML,90.0
462,aggarwal,solana,2021,480,PD/HC,T1,ML,97.99
469,aggarwal,peng,2018,172,PD/HC,T1,ML,85.78
470,aggarwal,nithya,2022,200,PD/HC,SPECT,ML,93.0
475,aggarwal,castillo,2020,386,PD/HC,SPECT,ML,97.04
482,aggarwal,oliveira,2015,654,PD/HC,SPECT,ML,97.86
566,aslam,ashtiani,2022,20,MS/HC,fMRI,ML,85.0
568,aslam,wang,2016,72,MS/HC,sMRI,ML,97.76
569,aslam,zhang,2016,76,MS/HC,sMRI,ML,97.94
570,aslam,zhang,2019,84,MS/HC,T1/T2,ML,84.5
571,aslam,sacca,2019,37,MS/HC,rsfMRI,ML,85.7
572,aslam,moghadasi,2019,72,MS/HC,sMRI,ML,77.83
573,aslam,rezaee,2020,125,MS/HC,sMRI,ML,97.0
575,aslam,yuling,2021,45,MS/HC,T2,ML,82.7
576,aslam,elsebely,2021,45,MS/HC,T1/T2/FLAIR,ML,98.5
577,aslam,bonamo,2021,20,MS/HC,FLAIR,ML,87.0
578,aslam,jain,2022,192,MS/HC,sMRI,ML,96.55
580,aslam,wu,2017,67,MS/HC,sMRI,ML,89.72
581,aslam,azarmi,2019,20,MS/HC,fMRI,ML,95.0
582,aslam,macin,2022,131,MS/HC,FLAIR,ML,98.37
583,aslam,neeb,2018,97,MS/HC,T1/T2,ML,79.1
584,aslam,zurita,2018,150,MS/HC,dMRI/fMRI,ML,88.9
614,rashid,bleich,2014,53,SCZ/HC,tfMRI,ML,83.0
618,rashid,arribas,2010,60,SCZ/HC,tfMRI,ML,86.0
619,rashid,du,2012,56,SCZ/HC,tfMRI,ML,95.5
620,rashid,cetin,2015,55,SCZ/HC,tfMRI,ML,72.0
622,rashid,yu,2013,71,SCZ/HC,rsfMRI,ML,62.0
626,rashid,venkataraman,2012,36,SCZ/HC,rsfMRI,ML,75.0
638,rashid,anticevic,2013,180,SCZ/HC,rsfMRI,ML,73.9
649,rashid,nieuwenhuls,2012,516,SCZ/HC,sMRI,ML,71.0
651,rashid,koutsoleris,2015,262,SCZ/MDD/HC,sMRI,ML,76.0
654,rashid,karageorglou,2011,75,SCZ/HC,sMRI,ML,72.0
657,rashid,ingalhallkar,2012,52,SCZ/HC,sMRI,ML,78.0
665,rashid,ota,2013,50,SCZ/MDD/HC,sMRI,ML,80.0
673,rashid,pouyan,2015,20,SCZ/HC,rsfMRI,ML,100.0
674,rashid,lee,2018,70,SCZ/HC,sMRI/dMRI,ML,88.55
675,rashid,pergola,2017,400,SCZ/HC,sMRI,ML,78.0
676,rashid,yiu,2018,79,SCZ/HC,rsfMRI,ML,89.87
677,rashid,winterburn,2017,449,SCZ/HC,sMRI,ML,73.5
678,rashid,kottaram,2018,82,SCZ/HC,rsfMRI,ML,91.0
679,rashid,dagnew,2017,40,SCZ/HC,sMRI,ML,74.0
681,rashid,tas,2018,46,SCZ/HC,sMRI,ML,78.26
683,rashid,liu,2017,76,SCZ/HC,sMRI,ML,88.72
684,rashid,pavol,2018,154,SCZ/HC,dMRI,ML,62.34
685,rashid,zhu,2018,45,SCZ/HC,rsfMRI,ML,95.56
686,rashid,cao,2018,72,SCZ/HC,rsfMRI,ML,95.56
687,rashid,gheiratmand,2017,380,SCZ/HC,tfMRI,ML,74.0
689,rashid,guo,2016,181,SCZ/HC,sMRI,ML,96.3
690,rashid,cabral,2016,145,SCZ/HC,rsfMRI/sMRI,ML,75.0
691,rashid,rozycki,2017,941,SCZ/HC,sMRI,ML,76.0
692,rashid,rubin,2018,52,BP/MDD/HC,sMRI,ML,75.0
693,rashid,deng,2018,67,BP/MDD/HC,DTI,ML,68.3
695,rashid,yoshida,2017,123,BP/MDD/HC,rsfMRI,ML,80.0
697,rashid,zhong,2017,165,MDD/HC,rsfMRI,ML,89.15
698,rashid,wang,2017,60,MDD/HC,rsfMRI,ML,95.0
699,rashid,schnyer,2017,50,MDD/HC,DTI,ML,74.0
700,rashid,sundermann,2017,360,MDD/HC,rsfMRI,ML,50.55
701,rashid,bhaumik,2017,67,MDD/HC,rsfMRI,ML,76.1
702,rashid,he,2017,86,MDD/BP/HC,rsfMRI/sMRI,ML,91.3
704,rashid,sankar,2016,43,MDD/HC,sMRI,ML,70.0
705,rashid,frangou,2017,60,MDD/BP,tfMRI,ML,73.1
706,rashid,ramasubbu,2016,34,MDD/HC,rsfMRI,ML,66.0
707,rashid,yang,2016,32,MDD/HC,tfMRI,ML,75.0
