,source,author,year,sample,diagnosis,modality,method,accuracy
251,shoebi,eitel,2019,147,MS/HC,T1/FLAIR,DL,87.94
252,shoebi,ye,2020,38,MS/HC,FLAIR/T1,DL,93.4
253,shoebi,yoo,2018,99,MS/HC,T1,DL,87.9
258,filipis,pinaya,2016,258,SCZ/PSY/HC,sMRI,DL,73.6
275,filipis,kim,2016,100,SCZ/HC,rsfMRI,DL,85.8
288,quaak,dakka,2017,95,SCZ/HC,tfMRI,DL,66.4
289,quaak,pinaya,2019,75,SCZ/HC,sMRI,DL,70.7
290,quaak,matsubara,2019,175,SCZ/HC,rsfMRI,DL,71.3
291,quaak,vyskovsky,2019,104,SCZ/HC,sMRI,DL,73.1
292,quaak,pinaya,2016,226,SCZ/HC,sMRI,DL,73.6
293,quaak,ulloa,2015,389,SCZ/HC,sMRI,DL,75.0
294,quaak,han,2017,70,SCZ/HC,rsfMRI,DL,79.3
295,quaak,li,2019,183,SCZ/HC,Multimodal,DL,80.5
296,quaak,lei,2019,747,SCZ/HC,rsfMRI,DL,81.0
297,quaak,wang,2019,56,SCZ/HC,rsfMRI,DL,82.2
298,quaak,yang,2019,222,SCZ/HC,rsfMRI,DL,82.8
299,quaak,yan,2019,1110,SCZ/HC,rsfMRI,DL,83.2
300,quaak,oh,2019,144,SCZ/HC,tfMRI,DL,84.4
301,quaak,yan,2017,1110,SCZ/HC,rsfMRI,DL,84.8
302,quaak,zeng,2018,784,SCZ/HC,rsfMRI/tfMRI,DL,85.0
304,quaak,plis,2014,389,SCZ/HC,sMRI,DL,91.0
306,quaak,patel,2016,146,SCZ/HC,rsfMRI,DL,92.0
307,quaak,srinivasagopalan,2019,144,SCZ/HC,sMRI/rsfMRI,DL,94.4
308,quaak,quershi,2019,144,SCZ/HC,rsfMRI,DL,98.0
309,quaak,quershi,2017,144,SCZ/HC,sMRI/rsfMRI,DL,99.3
310,quaak,matsubara,2019,163,BP/HC,rsfMRI,DL,64.0
311,quaak,pominova,2018,50,MDD/HC,rsfMRI,DL,73.0
312,quaak,miholca,2017,39,MDD/HC,tfMRI,DL,92.3
320,verma,jafri,2006,35,SCZ/HC,fMRI,DL,76.0
326,verma,sutcubasi,2019,62,SCZ/HC,DTI,DL,81.25
330,verma,vieira,2020,958,SCZ/HC,sMRI,DL,70.0
451,claude,arribas,2010,60,BP/SCZ/HC,tfMRI,DL,71.0
457,claude,sutsucsabi,2019,103,SCZ/BP/HC,DTI,DL,81.25
459,aggarwal,vyas,2022,318,PD/HC,T2,DL,88.9
460,aggarwal,bhan,2021,54,PD/HC,T1,DL,97.62
461,aggarwal,mozhdehfarahbakhsh,2021,100,PD/HC,sMRI,DL,94.0
463,aggarwal,kaur,2021,504,PD/HC,T2,DL,89.23
464,aggarwal,chakraborty,2020,906,PD/HC,T1,DL,95.3
465,aggarwal,sivaranjini,2020,182,PD/HC,T2,DL,88.9
466,aggarwal,shah,2018,500,PD/HC,T2,DL,96.87
467,aggarwal,esmaelizadehet,2018,656,PD/HC,sMRI,DL,82.0
468,aggarwal,singh,2018,1316,PD/AD/HC,T1,DL,94.29
471,aggarwal,kurmi,2022,645,PD/HC,SPECT,DL,98.45
472,aggarwal,dehgan,2022,650,PD/HC,SPECT,DL,95.5
473,aggarwal,magesh,2020,642,PD/HC,SPECT,DL,95.2
474,aggarwal,hsu,2020,202,PD/HC,SPECT,DL,85.0
476,aggarwal,ortiz,2019,269,PD/HC,SPECT,DL,95.1
477,aggarwal,wenzel,2019,645,PD/HC,SPECT,DL,62.9
478,aggarwal,martinez,2018,642,PD/HC,SPECT,DL,94.1
479,aggarwal,kim,2018,153,PD/HC,SPECT,DL,96.3
480,aggarwal,zhang,2017,1513,PD/HC,SPECT,DL,93.8
481,aggarwal,challa,2017,686,PD/HC,Multimodal,DL,97.159
483,aggarwal,yadav,2018,30,PD/HC,fMRI,DL,100.0
484,ebramhimighahnavieh,suk,2013,202,AD/HC,Multimodal,DL,95.9
485,ebramhimighahnavieh,gupta,2013,755,AD/HC,sMRI,DL,94.74
488,ebramhimighahnavieh,li,2014,202,AD/HC,sMRI/PET,DL,91.4
489,ebramhimighahnavieh,payan,2015,2265,AD/HC,sMRI,DL,95.39
491,ebramhimighahnavieh,suk,2015,202,AD/HC,Multimodal,DL,98.8
493,ebramhimighahnavieh,chen,2015,338,AD/HC,sMRI,DL,88.98
494,ebramhimighahnavieh,li,2015,202,AD/HC,Multimodal,DL,91.4
495,ebramhimighahnavieh,hosseini,2016,210,AD/HC,sMRI,DL,97.6
496,ebramhimighahnavieh,billones,2016,900,AD/HC,sMRI,DL,98.33
497,ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI,DL,98.84
498,ebramhimighahnavieh,sarraf,2016,43,AD/HC,fMRI,DL,96.86
500,ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI/fMRI,DL,100.0
501,ebramhimighahnavieh,zheng,2016,103,AD/HC,sMRI/PET,DL,97.27
502,ebramhimighahnavieh,bhatkoti,2016,150,AD/HC,Multimodal,DL,83.14
505,ebramhimighahnavieh,suk,2016,805,AD/HC,sMRI,DL,91.02
506,ebramhimighahnavieh,shakeri,2016,560,AD/HC,sMRI,DL,84.0
507,ebramhimighahnavieh,suk,2016,202,AD/HC,Multimodal,DL,95.09
508,ebramhimighahnavieh,aderghal,2017,815,AD/HC,sMRI,DL,82.2
509,ebramhimighahnavieh,cheng,2017,339,AD/HC,PET,DL,91.19
512,ebramhimighahnavieh,korolev,2017,231,AD/HC,sMRI,DL,88.0
513,ebramhimighahnavieh,valliani,2017,660,AD/HC,sMRI,DL,81.3
514,ebramhimighahnavieh,hon,2017,416,AD/HC,sMRI,DL,96.25
515,ebramhimighahnavieh,karwath,2017,2630,AD/HC,PET,DL,91.6
516,ebramhimighahnavieh,ortiz,2017,138,AD/HC,sMRI,DL,94.0
517,ebramhimighahnavieh,li,2017,832,AD/HC,sMRI,DL,91.7
519,ebramhimighahnavieh,cheng,2017,193,AD/HC,sMRI/PET,DL,89.64
520,ebramhimighahnavieh,vu,2017,317,AD/HC,sMRI/PET,DL,91.14
521,ebramhimighahnavieh,majumdar,2017,202,AD/HC,Multimodal,DL,95.4
522,ebramhimighahnavieh,faturrahman,2017,98,AD/HC,sMRI,DL,91.76
523,ebramhimighahnavieh,jha,2017,95,AD/HC,sMRI,DL,91.6
525,ebramhimighahnavieh,shi,2017,338,AD/HC,sMRI,DL,91.95
527,ebramhimighahnavieh,collazos,2017,694,AD/HC,sMRI,DL,93.2
529,ebramhimighahnavieh,cheng,2017,428,AD/HC,sMRI,DL,87.15
531,ebramhimighahnavieh,karasawa,2018,1728,AD/HC,sMRI,DL,94.0
532,ebramhimighahnavieh,senanayake,2018,515,AD/HC,Multimodal,DL,79.0
533,ebramhimighahnavieh,liu,2018,856,AD/HC,sMRI,DL,90.56
535,ebramhimighahnavieh,gao,2018,415,AD/HC,sMRI,DL,89.5
536,ebramhimighahnavieh,aderghal,2018,815,AD/HC,MRI/DTI,DL,92.5
538,ebramhimighahnavieh,backstrom,2018,340,AD/HC,sMRI,DL,98.37
539,ebramhimighahnavieh,cui,2018,428,AD/HC,sMRI,DL,89.69
541,ebramhimighahnavieh,lu,2018,1051,AD/HC,PET,DL,93.58
542,ebramhimighahnavieh,choi,2018,492,AD/HC,PET,DL,96.0
543,ebramhimighahnavieh,wang,2018,196,AD/HC,sMRI,DL,97.65
546,ebramhimighahnavieh,wegmayr,2018,1790,AD/HC,sMRI,DL,75.0
547,ebramhimighahnavieh,punjabi,2018,723,AD/HC,sMRI/PET,DL,94.0
548,ebramhimighahnavieh,taqi,2018,500,AD/HC,sMRI,DL,100.0
549,ebramhimighahnavieh,chen,2018,764,AD/HC,sMRI,DL,93.9
550,ebramhimighahnavieh,kim,2018,202,AD/HC,Multimodal,DL,97.12
551,ebramhimighahnavieh,yang,2018,103,AD/HC,sMRI,DL,79.4
553,ebramhimighahnavieh,khvostikov,2018,531,AD/HC,sMRI/DTI,DL,93.3
554,ebramhimighahnavieh,tang,2018,321,AD/HC,sMRI,DL,96.81
557,ebramhimighahnavieh,spasov,2018,376,AD/HC,Multimodal,DL,99.0
558,ebramhimighahnavieh,islam,2018,1726,AD/HC,sMRI,DL,94.97
559,ebramhimighahnavieh,rieke,2018,969,AD/HC,sMRI,DL,77.0
560,ebramhimighahnavieh,lian,2018,1457,AD/HC,sMRI,DL,90.0
561,ebramhimighahnavieh,qiao,2018,68,AD/HC,fMRI,DL,95.59
564,ebramhimighahnavieh,spasov,2019,785,AD/HC,Multimodal,DL,100.0
565,ebramhimighahnavieh,wamg,2019,833,AD/HC,sMRI,DL,98.83
567,aslam,zhang,2017,72,MS/HC,sMRI,DL,97.8
574,aslam,eksi,2021,90,MS/HC,sMRI,DL,100.0
579,aslam,hahn,2019,64,MS/HC,sMRI,DL,91.95
586,aslam,eitel,2019,147,MS/HC,T1,DL,87.04
587,aslam,soltani,2020,72,MS/HC,T2,DL,99.66
589,aslam,wang,2021,64,MS/HC,sMRI,DL,95.82
590,aslam,wang,2018,64,MS/HC,sMRI,DL,98.77
592,aslam,acar,2022,30,MS/HC,FLAIR,DL,90.3
593,aslam,fooladi,2018,60,MS/HC,T1,DL,90.0
594,aslam,lopatina,2020,132,MS/HC,sMRI,DL,92.0
595,aslam,alijamaat,2021,58,MS/HC,sMRI,DL,99.05
596,aslam,yoo,2019,140,MS/HC,Multimodal,DL,75.0
597,aslam,jannat,2021,30,MS/HC,T1/T2/FLAIR,DL,98.24
598,aslam,zhang,2021,38,MS/HC,T1/T2/FLAIR,DL,95.42
599,aslam,ye,2020,38,MS/HC,Multimodal,DL,93.4
600,aslam,shmueli,2022,39,MS/HC,sMRI,DL,91.0
601,aslam,wang,2020,64,MS/HC,sMRI,DL,98.31
602,aslam,zhou,2020,1357,MS/HC,sMRI,DL,92.75
603,aslam,karaca,2017,120,MS/HC,sMRI,DL,99.78
773,colombo,matsubara,2019,96,BP/SCZ,rsfMRI,DL,71.3
790,colombo,squarcina,2019,75,BP/HC,sMRI,DL,75.0
791,colombo,sutcubasi,2019,80,BP/SCZ,DTI,DL,81.3
